ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb
BNP FP Equity,FR0000131104,BNP Paribas SA,Financials,0.014275050000000001,1017.729604,76.91,2025-03-31,BNP FP
MUV2 GY Equity,DE0008430026,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Financials,0.01420728,133.760287,582.4,2025-03-31,MUV2 GY
RMS FP Equity,FR0000052292,Hermes International SCA,Consumer Discretionary,0.01392576,31.670824,2411.0,2025-03-31,RMS FP
BBVA SQ Equity,ES0113211835,Banco Bilbao Vizcaya Argentaria SA,Financials,0.0131857,5763.285465,12.545,2025-03-31,BBVA SQ
UCG IM Equity,IT0005239360,UniCredit SpA,Financials,0.013121830000000001,1396.277865,51.53,2025-03-31,UCG IM
ISP IM Equity,IT0000072618,Intesa Sanpaolo SpA,Financials,0.01306529,15133.119926,4.734,2025-03-31,ISP IM
CS FP Equity,FR0000120628,AXA SA,Financials,0.01273159,1771.838298,39.4,2025-03-31,CS FP
ENEL IM Equity,IT0003128367,Enel SpA,Utilities,0.01112037,8133.343957,7.497,2025-03-31,ENEL IM
PRX NA Equity,NL0013654783,Prosus NV,Consumer Discretionary,0.01062196,1368.00405,42.575,2025-03-31,PRX NA
DG FP Equity,FR0000125486,Vinci SA,Industrials,0.01048932,494.544306,116.3,2025-03-31,DG FP
RHM GY Equity,DE0007030009,Rheinmetall AG,Industrials,0.01047813,43.55885,1319.0,2025-03-31,RHM GY
INGA NA Equity,NL0011821202,ING Groep NV,Financials,0.01032629,3147.391173,17.99,2025-03-31,INGA NA
DB1 GY Equity,DE0005810055,Deutsche Boerse AG,Financials,0.00934418,188.3,272.1,2025-03-31,DB1 GY
ABI BB Equity,BE0974293251,Anheuser-Busch InBev SA/NV,Consumer Staples,0.0093281,898.599262,56.92,2025-03-31,ABI BB
ITX SQ Equity,ES0148396007,Industria de Diseno Textil SA,Consumer Discretionary,0.00912132,1090.8275,45.85,2025-03-31,ITX SQ
RACE IM Equity,NL0011585146,Ferrari NV,Consumer Discretionary,0.009016,126.050274,392.2,2025-03-31,RACE IM
BN FP Equity,FR0000120644,Danone SA,Consumer Staples,0.00834043,645.576291,70.84,2025-03-31,BN FP
SGO FP Equity,FR0000125007,Cie de Saint-Gobain SA,Industrials,0.007511370000000001,449.145697,91.7,2025-03-31,SGO FP
BAS GY Equity,DE000BASF111,BASF SE,Materials,0.00747045,892.522164,45.895,2025-03-31,BAS GY
DBK GY Equity,DE0005140008,Deutsche Bank AG,Financials,0.00736523,1850.840241,21.82,2025-03-31,DBK GY
IFX GY Equity,DE0006231004,Infineon Technologies AG,Information Technology,0.00723905,1305.921137,30.395,2025-03-31,IFX GY
MBG GY Equity,DE0007100000,Mercedes-Benz Group AG,Consumer Discretionary,0.00713716,722.177777,54.19,2025-03-31,MBG GY
DHL GY Equity,DE0005552004,Deutsche Post AG,Industrials,0.00691211,960.0,39.48,2025-03-31,DHL GY
NDA FH Equity,FI4000297767,Nordea Bank Abp,Financials,0.006766680000000001,3152.368767,11.77,2025-03-31,NDA FH
ADS GY Equity,DE000A1EWWW0,adidas AG,Consumer Discretionary,0.00675799,171.0,216.7,2025-03-31,ADS GY
ENR GY Equity,DE000ENER6Y0,Siemens Energy AG,Industrials,0.0062787400000000005,639.44777,53.84,2025-03-31,ENR GY
WKL NA Equity,NL0000395903,Wolters Kluwer NV,Industrials,0.0062443,238.516153,143.55,2025-03-31,WKL NA
ENGI FP Equity,FR0010208488,Engie SA,Utilities,0.006007439999999999,1826.463758,18.035,2025-03-31,ENGI FP
