ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
KPN NA Equity,NL0000009082,Koninklijke KPN NV,Communication Services,0.00218847,3229.855674,3.269,2023-06-30,KPN NA,KPN NA,KPN NA,KPN NA,10.0715646,0.6923076923076923,False
CA FP Equity,FR0000120172,Carrefour SA,Consumer Staples,0.00213576,593.725969,17.355,2023-06-30,CA FP,CA FP,CA FP,CA FP,12.1087435,0.1875,True
UCB BB Equity,BE0003739530,UCB SA,Health Care,0.00212786,126.428678,81.2,2023-06-30,UCB BB,UCB BB,UCB BB,UCB BB,13.55416481,0.23809523809523808,True
PRY IM Equity,IT0004176001,Prysmian SpA,Industrials,0.00202119,254.737034,38.28,2023-06-30,PRY IM,PRY IM,PRY IM,PRY IM,11.86301457,0.32432432432432434,False
SRG IM Equity,IT0003153415,Snam SpA,Utilities,0.00200082,2016.514685,4.787,2023-06-30,SRG IM,SRG IM,SRG IM,SRG IM,12.51443798,0.3684210526315789,False
KSP ID Equity,IE0004927939,Kingspan Group PLC,Industrials,0.00195153,154.60211,60.9,2023-06-30,KSP ID,KSP ID,KSP ID,KSP ID,11.24739344,0.40540540540540543,False
QIA GY Equity,NL0015002CX3,QIAGEN NV,Health Care,0.00194178,227.716433,41.14,2023-06-30,QIA GY,QIA GY,QIA GR,QIA GR,12.6601106,0.38095238095238093,False
BIRG ID Equity,IE00BD1RP616,Bank of Ireland Group PLC,Financials,0.0019383,1070.205677,8.738,2023-06-30,BIRG ID,BIRG ID,BIRG ID,BIRG ID,9.696515852,0.8292682926829268,False
1COV GY Equity,DE0006062144,Covestro AG,Materials,0.00190535,193.2,47.58,2023-06-30,1COV GY,1COV GY,1COV GR,1COV GR,10.74004821,0.4117647058823529,False
TEP FP Equity,FR0000051807,Teleperformance SE,Industrials,0.0018804,59.120842,153.45,2023-06-30,TEP FP,TEP FP,TEP FP,TEP FP,8.92011395,0.918918918918919,False
FME GY Equity,DE0005785802,Fresenius Medical Care AG,Health Care,0.00186336,205.389414,43.77,2023-06-30,FME GY,FME GY,FME GR,FME GR,14.25111963,0.14285714285714285,True
SW FP Equity,FR0000121220,Sodexo SA,Consumer Discretionary,0.00184939,88.472932,100.85,2023-06-30,SW FP,SW FP,SW FP,SW FP,10.00530773,0.6923076923076923,False
EXO NA Equity,NL0012059018,EXOR NV,Financials,0.0018360599999999,108.45,81.68,2023-06-30,EXO NA,EXO NA,EXO NA,EXO NA,6.501676799,0.975609756097561,False
ALO FP Equity,FR0010220475,Alstom SA,Industrials,0.00183123,323.385436,27.32,2023-06-30,ALO FP,ALO FP,ALO FP,ALO FP,10.41342031,0.5675675675675675,False
NN NA Equity,NL0010773842,NN Group NV,Financials,0.00176243,250.75,33.91,2023-06-30,NN NA,NN NA,NN NA,NN NA,11.82814081,0.36585365853658536,False
PAH3 GY Equity,DE000PAH0038,Porsche Automobil Holding SE,Consumer Discretionary,0.0017507,153.125,55.16,2023-06-30,PAH3 GY,PAH3 GY,PAH3 GR,PAH3 GR,7.825617014,0.9230769230769231,False
ENR GY Equity,DE000ENER6Y0,Siemens Energy AG,Industrials,0.00174241,519.551313,16.18,2023-06-30,ENR GY,ENR GY,ENR GR,ENR GR,12.56754552,0.1891891891891892,True
WLN FP Equity,FR0011981968,Worldline SA/France,Financials,0.00166098,239.208902,33.5,2023-06-30,WLN FP,WLN FP,WLN FP,WLN FP,12.87016376,0.14634146341463414,True
ERF FP Equity,FR0014000MR3,Eurofins Scientific SE,Health Care,0.00162643,134.917708,58.16,2023-06-30,ERF FP,ERF FP,ERF FP,ERF FP,8.264907128,0.6666666666666666,False
AGN NA Equity,BMG0112X1056,Aegon Ltd,Financials,0.00161949,1687.544183,4.63,2023-06-30,AGN NA,AGN NA,AGN NA,AGN NA,12.38613132,0.2682926829268293,True
CON GY Equity,DE0005439004,Continental AG,Consumer Discretionary,0.00157553,110.003291,69.1,2023-06-30,CON GY,CON GY,CON GR,CON GR,8.118905249,0.8846153846153846,False
SOLB BB Equity,BE0003470755,Solvay SA,Materials,0.0015715,74.113491,102.3,2023-06-30,SOLB BB,SOLB BB,SOLB BB,SOLB BB,11.44364086,0.11764705882352941,True
FBK IM Equity,IT0000072170,FinecoBank Banca Fineco SpA,Financials,0.00155868,610.631635,12.315,2023-06-30,FBK IM,FBK IM,FBK IM,FBK IM,11.75622492,0.4146341463414634,False
IMCD NA Equity,NL0010801007,IMCD NV,Industrials,0.00155564,56.987858,131.7,2023-06-30,IMCD NA,IMCD NA,IMCD NA,IMCD NA,11.23820844,0.43243243243243246,False
RNO FP Equity,FR0000131906,Renault SA,Consumer Discretionary,0.0015371,192.219485,38.58,2023-06-30,RNO FP,RNO FP,RNO FP,RNO FP,11.77996506,0.38461538461538464,False
